,response_id,advocating,all,communicating,engaging,taking_action,belonging,hope,hope_belonging,hope_trust,hope_trust_belonging,trust,trust_belonging
0,resp_0000,0,1,0,0,0,0,1,0,0,0,0,0
1,resp_0001,0,1,0,0,0,0,1,0,0,0,0,0
2,resp_0002,0,1,0,0,0,0,1,0,0,0,0,0
3,resp_0003,0,1,0,0,0,0,1,0,0,0,0,0
4,resp_0004,0,1,0,0,0,0,1,0,0,0,0,0
5,resp_0005,0,1,0,0,0,0,1,0,0,0,0,0
6,resp_0006,0,1,0,0,0,0,1,0,0,0,0,0
7,resp_0007,0,1,0,0,0,0,1,0,0,0,0,0
8,resp_0008,0,0,1,0,0,0,1,0,0,0,0,0
9,resp_0009,0,0,1,0,0,0,1,0,0,0,0,0
10,resp_0010,0,0,1,0,0,0,1,0,0,0,0,0
11,resp_0011,0,0,1,0,0,0,1,0,0,0,0,0
12,resp_0012,0,0,1,0,0,0,1,0,0,0,0,0
13,resp_0013,0,0,1,0,0,0,1,0,0,0,0,0
14,resp_0014,0,0,1,0,0,0,1,0,0,0,0,0
15,resp_0015,0,0,0,1,0,0,1,0,0,0,0,0
16,resp_0016,0,0,0,1,0,0,1,0,0,0,0,0
17,resp_0017,0,0,0,1,0,0,1,0,0,0,0,0
18,resp_0018,0,0,0,1,0,0,1,0,0,0,0,0
19,resp_0019,0,0,0,1,0,0,1,0,0,0,0,0
20,resp_0020,0,0,0,1,0,0,1,0,0,0,0,0
21,resp_0021,0,0,0,1,0,0,1,0,0,0,0,0
22,resp_0022,0,0,0,1,0,0,1,0,0,0,0,0
23,resp_0023,0,0,0,1,0,0,1,0,0,0,0,0
24,resp_0024,0,0,0,1,0,0,1,0,0,0,0,0
25,resp_0025,0,0,0,1,0,0,1,0,0,0,0,0
26,resp_0026,1,0,0,0,0,0,1,0,0,0,0,0
27,resp_0027,1,0,0,0,0,0,1,0,0,0,0,0
28,resp_0028,1,0,0,0,0,0,1,0,0,0,0,0
29,resp_0029,0,0,0,0,1,0,1,0,0,0,0,0
30,resp_0030,0,1,0,0,0,0,0,0,0,0,1,0
31,resp_0031,0,1,0,0,0,0,0,0,0,0,1,0
32,resp_0032,0,1,0,0,0,0,0,0,0,0,1,0
33,resp_0033,0,0,1,0,0,0,0,0,0,0,1,0
34,resp_0034,0,0,1,0,0,0,0,0,0,0,1,0
35,resp_0035,0,0,1,0,0,0,0,0,0,0,1,0
36,resp_0036,0,0,1,0,0,0,0,0,0,0,1,0
37,resp_0037,0,0,1,0,0,0,0,0,0,0,1,0
38,resp_0038,0,0,1,0,0,0,0,0,0,0,1,0
39,resp_0039,0,0,1,0,0,0,0,0,0,0,1,0
40,resp_0040,0,0,1,0,0,0,0,0,0,0,1,0
41,resp_0041,0,0,1,0,0,0,0,0,0,0,1,0
42,resp_0042,0,0,1,0,0,0,0,0,0,0,1,0
43,resp_0043,0,0,1,0,0,0,0,0,0,0,1,0
44,resp_0044,0,0,0,1,0,0,0,0,0,0,1,0
45,resp_0045,0,0,0,1,0,0,0,0,0,0,1,0
46,resp_0046,1,0,0,0,0,0,0,0,0,0,1,0
47,resp_0047,1,0,0,0,0,0,0,0,0,0,1,0
48,resp_0048,1,0,0,0,0,0,0,0,0,0,1,0
49,resp_0049,1,0,0,0,0,0,0,0,0,0,1,0
50,resp_0050,1,0,0,0,0,0,0,0,0,0,1,0
51,resp_0051,0,0,0,0,1,0,0,0,0,0,1,0
52,resp_0052,0,0,0,0,1,0,0,0,0,0,1,0
53,resp_0053,0,0,0,0,1,0,0,0,0,0,1,0
54,resp_0054,0,0,0,0,1,0,0,0,0,0,1,0
55,resp_0055,0,0,0,0,1,0,0,0,0,0,1,0
56,resp_0056,0,0,1,0,0,1,0,0,0,0,0,0
57,resp_0057,0,0,1,0,0,1,0,0,0,0,0,0
58,resp_0058,1,0,0,0,0,1,0,0,0,0,0,0
59,resp_0059,1,0,0,0,0,1,0,0,0,0,0,0
60,resp_0060,1,0,0,0,0,1,0,0,0,0,0,0
61,resp_0061,0,0,0,0,1,1,0,0,0,0,0,0
62,resp_0062,0,0,1,0,0,0,0,0,1,0,0,0
63,resp_0063,0,0,1,0,0,0,0,0,1,0,0,0
64,resp_0064,0,0,1,0,0,0,0,0,1,0,0,0
65,resp_0065,0,0,1,0,0,0,0,0,1,0,0,0
66,resp_0066,0,0,1,0,0,0,0,0,1,0,0,0
67,resp_0067,0,0,1,0,0,0,0,0,1,0,0,0
68,resp_0068,0,0,0,1,0,0,0,0,1,0,0,0
69,resp_0069,0,0,0,1,0,0,0,0,1,0,0,0
70,resp_0070,0,0,0,1,0,0,0,0,1,0,0,0
71,resp_0071,0,0,0,1,0,0,0,0,1,0,0,0
72,resp_0072,0,0,0,1,0,0,0,0,1,0,0,0
73,resp_0073,0,0,0,1,0,0,0,0,1,0,0,0
74,resp_0074,0,0,0,1,0,0,0,0,1,0,0,0
75,resp_0075,0,0,0,1,0,0,0,0,1,0,0,0
76,resp_0076,0,0,0,1,0,0,0,0,1,0,0,0
77,resp_0077,0,0,0,1,0,0,0,0,1,0,0,0
78,resp_0078,0,0,0,1,0,0,0,0,1,0,0,0
79,resp_0079,0,0,0,1,0,0,0,0,1,0,0,0
80,resp_0080,1,0,0,0,0,0,0,0,1,0,0,0
81,resp_0081,1,0,0,0,0,0,0,0,1,0,0,0
82,resp_0082,1,0,0,0,0,0,0,0,1,0,0,0
83,resp_0083,1,0,0,0,0,0,0,0,1,0,0,0
84,resp_0084,1,0,0,0,0,0,0,0,1,0,0,0
85,resp_0085,1,0,0,0,0,0,0,0,1,0,0,0
86,resp_0086,1,0,0,0,0,0,0,0,1,0,0,0
87,resp_0087,1,0,0,0,0,0,0,0,1,0,0,0
88,resp_0088,1,0,0,0,0,0,0,0,1,0,0,0
89,resp_0089,1,0,0,0,0,0,0,0,1,0,0,0
90,resp_0090,1,0,0,0,0,0,0,0,1,0,0,0
91,resp_0091,1,0,0,0,0,0,0,0,1,0,0,0
92,resp_0092,1,0,0,0,0,0,0,0,1,0,0,0
93,resp_0093,0,0,0,0,1,0,0,0,1,0,0,0
94,resp_0094,0,0,0,0,1,0,0,0,1,0,0,0
95,resp_0095,0,0,0,0,1,0,0,0,1,0,0,0
96,resp_0096,0,0,0,0,1,0,0,0,1,0,0,0
97,resp_0097,0,0,0,0,1,0,0,0,1,0,0,0
98,resp_0098,0,0,0,0,1,0,0,0,1,0,0,0
99,resp_0099,0,0,0,0,1,0,0,0,1,0,0,0
100,resp_0100,0,0,0,0,1,0,0,0,1,0,0,0
101,resp_0101,0,0,0,0,1,0,0,0,1,0,0,0
102,resp_0102,0,0,0,0,1,0,0,0,1,0,0,0
103,resp_0103,0,0,0,0,1,0,0,0,1,0,0,0
104,resp_0104,0,0,0,0,1,0,0,0,1,0,0,0
105,resp_0105,0,0,0,0,1,0,0,0,1,0,0,0
106,resp_0106,0,0,1,0,0,0,0,1,0,0,0,0
107,resp_0107,0,0,1,0,0,0,0,1,0,0,0,0
108,resp_0108,0,0,1,0,0,0,0,1,0,0,0,0
109,resp_0109,0,0,1,0,0,0,0,1,0,0,0,0
110,resp_0110,0,0,0,1,0,0,0,1,0,0,0,0
111,resp_0111,0,0,0,1,0,0,0,1,0,0,0,0
112,resp_0112,0,0,0,1,0,0,0,1,0,0,0,0
113,resp_0113,0,0,0,1,0,0,0,1,0,0,0,0
114,resp_0114,0,0,0,1,0,0,0,1,0,0,0,0
115,resp_0115,1,0,0,0,0,0,0,1,0,0,0,0
116,resp_0116,1,0,0,0,0,0,0,1,0,0,0,0
117,resp_0117,1,0,0,0,0,0,0,1,0,0,0,0
118,resp_0118,1,0,0,0,0,0,0,1,0,0,0,0
119,resp_0119,1,0,0,0,0,0,0,1,0,0,0,0
120,resp_0120,1,0,0,0,0,0,0,1,0,0,0,0
121,resp_0121,0,0,0,0,1,0,0,1,0,0,0,0
122,resp_0122,0,0,0,0,1,0,0,1,0,0,0,0
123,resp_0123,0,0,0,0,1,0,0,1,0,0,0,0
124,resp_0124,0,1,0,0,0,0,0,0,0,0,0,1
125,resp_0125,0,0,1,0,0,0,0,0,0,0,0,1
126,resp_0126,0,0,1,0,0,0,0,0,0,0,0,1
127,resp_0127,0,0,1,0,0,0,0,0,0,0,0,1
128,resp_0128,0,0,0,1,0,0,0,0,0,0,0,1
129,resp_0129,0,0,0,1,0,0,0,0,0,0,0,1
130,resp_0130,0,0,0,1,0,0,0,0,0,0,0,1
131,resp_0131,0,0,0,1,0,0,0,0,0,0,0,1
132,resp_0132,0,0,0,1,0,0,0,0,0,0,0,1
133,resp_0133,0,0,0,1,0,0,0,0,0,0,0,1
134,resp_0134,1,0,0,0,0,0,0,0,0,0,0,1
135,resp_0135,1,0,0,0,0,0,0,0,0,0,0,1
136,resp_0136,0,0,0,0,1,0,0,0,0,0,0,1
137,resp_0137,0,0,0,0,1,0,0,0,0,0,0,1
138,resp_0138,0,0,0,0,1,0,0,0,0,0,0,1
139,resp_0139,0,0,0,0,1,0,0,0,0,0,0,1
140,resp_0140,0,0,0,0,1,0,0,0,0,0,0,1
141,resp_0141,0,0,0,0,1,0,0,0,0,0,0,1
142,resp_0142,0,0,0,0,1,0,0,0,0,0,0,1
143,resp_0143,0,0,0,0,1,0,0,0,0,0,0,1
144,resp_0144,0,0,0,0,1,0,0,0,0,0,0,1
145,resp_0145,0,1,0,0,0,0,0,0,0,1,0,0
146,resp_0146,0,1,0,0,0,0,0,0,0,1,0,0
147,resp_0147,0,1,0,0,0,0,0,0,0,1,0,0
148,resp_0148,0,1,0,0,0,0,0,0,0,1,0,0
149,resp_0149,0,1,0,0,0,0,0,0,0,1,0,0
150,resp_0150,0,1,0,0,0,0,0,0,0,1,0,0
151,resp_0151,0,1,0,0,0,0,0,0,0,1,0,0
152,resp_0152,0,1,0,0,0,0,0,0,0,1,0,0
153,resp_0153,0,1,0,0,0,0,0,0,0,1,0,0
154,resp_0154,0,1,0,0,0,0,0,0,0,1,0,0
155,resp_0155,0,1,0,0,0,0,0,0,0,1,0,0
156,resp_0156,0,1,0,0,0,0,0,0,0,1,0,0
157,resp_0157,0,1,0,0,0,0,0,0,0,1,0,0
158,resp_0158,0,1,0,0,0,0,0,0,0,1,0,0
159,resp_0159,0,1,0,0,0,0,0,0,0,1,0,0
160,resp_0160,0,1,0,0,0,0,0,0,0,1,0,0
161,resp_0161,0,1,0,0,0,0,0,0,0,1,0,0
162,resp_0162,0,1,0,0,0,0,0,0,0,1,0,0
163,resp_0163,0,0,1,0,0,0,0,0,0,1,0,0
164,resp_0164,0,0,1,0,0,0,0,0,0,1,0,0
165,resp_0165,0,0,1,0,0,0,0,0,0,1,0,0
166,resp_0166,0,0,1,0,0,0,0,0,0,1,0,0
167,resp_0167,0,0,1,0,0,0,0,0,0,1,0,0
168,resp_0168,0,0,1,0,0,0,0,0,0,1,0,0
169,resp_0169,0,0,1,0,0,0,0,0,0,1,0,0
170,resp_0170,0,0,1,0,0,0,0,0,0,1,0,0
171,resp_0171,0,0,1,0,0,0,0,0,0,1,0,0
172,resp_0172,0,0,0,1,0,0,0,0,0,1,0,0
173,resp_0173,0,0,0,1,0,0,0,0,0,1,0,0
174,resp_0174,0,0,0,1,0,0,0,0,0,1,0,0
175,resp_0175,0,0,0,1,0,0,0,0,0,1,0,0
176,resp_0176,0,0,0,1,0,0,0,0,0,1,0,0
177,resp_0177,0,0,0,1,0,0,0,0,0,1,0,0
178,resp_0178,0,0,0,1,0,0,0,0,0,1,0,0
179,resp_0179,0,0,0,1,0,0,0,0,0,1,0,0
180,resp_0180,1,0,0,0,0,0,0,0,0,1,0,0
181,resp_0181,1,0,0,0,0,0,0,0,0,1,0,0
182,resp_0182,1,0,0,0,0,0,0,0,0,1,0,0
183,resp_0183,1,0,0,0,0,0,0,0,0,1,0,0
184,resp_0184,1,0,0,0,0,0,0,0,0,1,0,0
185,resp_0185,1,0,0,0,0,0,0,0,0,1,0,0
186,resp_0186,1,0,0,0,0,0,0,0,0,1,0,0
187,resp_0187,1,0,0,0,0,0,0,0,0,1,0,0
188,resp_0188,1,0,0,0,0,0,0,0,0,1,0,0
189,resp_0189,1,0,0,0,0,0,0,0,0,1,0,0
190,resp_0190,1,0,0,0,0,0,0,0,0,1,0,0
191,resp_0191,1,0,0,0,0,0,0,0,0,1,0,0
192,resp_0192,1,0,0,0,0,0,0,0,0,1,0,0
193,resp_0193,0,0,0,0,1,0,0,0,0,1,0,0
194,resp_0194,0,0,0,0,1,0,0,0,0,1,0,0
195,resp_0195,0,0,0,0,1,0,0,0,0,1,0,0
196,resp_0196,0,0,0,0,1,0,0,0,0,1,0,0
197,resp_0197,0,0,0,0,1,0,0,0,0,1,0,0
198,resp_0198,0,0,0,0,1,0,0,0,0,1,0,0
199,resp_0199,0,0,0,0,1,0,0,0,0,1,0,0
200,resp_0200,0,0,0,0,1,0,0,0,0,1,0,0
201,resp_0201,0,0,0,0,1,0,0,0,0,1,0,0
202,resp_0202,0,0,0,0,1,0,0,0,0,1,0,0
203,resp_0203,0,0,0,0,1,0,0,0,0,1,0,0
204,resp_0204,0,0,0,0,1,0,0,0,0,1,0,0
205,resp_0205,0,0,0,0,1,0,0,0,0,1,0,0
206,resp_0206,0,0,0,0,1,0,0,0,0,1,0,0
207,resp_0207,0,0,0,0,1,0,0,0,0,1,0,0
208,resp_0208,0,0,0,0,1,0,0,0,0,1,0,0
